attrition	unit
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
chaos_wastes	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
chaos_wastes	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
mountain	wh3_dlc20_chs_cha_chaos_lord_mkho
mountain	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
mountain	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
mountain	wh3_dlc20_chs_cha_chaos_lord_msla
mountain	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
mountain	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
mountain	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_mkho
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_msla
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
non_vampire_territory	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
non_vampire_territory	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_mkho
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_msla
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
nurgle_plague	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
nurgle_plague	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
snow	wh3_dlc20_chs_cha_chaos_lord_mkho
snow	wh3_dlc20_chs_cha_chaos_lord_mkho_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_lord_mkho_gorebeast_chariot
snow	wh3_dlc20_chs_cha_chaos_lord_mkho_juggernaut
snow	wh3_dlc20_chs_cha_chaos_lord_msla
snow	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_chariot
snow	wh3_dlc20_chs_cha_chaos_lord_msla_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_mnur_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_death_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_fire_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_disc
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_mtze_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_metal_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_nurgle_mnur_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_shadows_warshrine
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_chaos_steed
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc
snow	wh3_dlc20_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_warshrine
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_beasts_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_death_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_shadows_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_wild_2
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_0
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_1
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_2
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_death_0
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_death_1
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_death_2
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_0
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_1
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_2
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_0
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_1
chaos_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_2
horde_infighting	wh2_dlc17_bst_cha_bray_shaman_beasts_2
horde_infighting	wh2_dlc17_bst_cha_bray_shaman_death_2
horde_infighting	wh2_dlc17_bst_cha_bray_shaman_shadows_2
horde_infighting	wh2_dlc17_bst_cha_bray_shaman_wild_2
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_beasts_0
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_beasts_1
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_beasts_2
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_death_0
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_death_1
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_death_2
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_shadows_0
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_shadows_1
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_shadows_2
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_wild_0
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_wild_1
horde_infighting	wh2_twa04_bst_cha_great_bray_shaman_wild_2
non_vampire_territory	wh2_dlc17_bst_cha_bray_shaman_beasts_2
non_vampire_territory	wh2_dlc17_bst_cha_bray_shaman_death_2
non_vampire_territory	wh2_dlc17_bst_cha_bray_shaman_shadows_2
non_vampire_territory	wh2_dlc17_bst_cha_bray_shaman_wild_2
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_0
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_1
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_beasts_2
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_death_0
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_death_1
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_death_2
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_0
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_1
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_shadows_2
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_0
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_1
non_vampire_territory	wh2_twa04_bst_cha_great_bray_shaman_wild_2
swamp	wh2_dlc17_bst_cha_bray_shaman_beasts_2
swamp	wh2_dlc17_bst_cha_bray_shaman_death_2
swamp	wh2_dlc17_bst_cha_bray_shaman_shadows_2
swamp	wh2_dlc17_bst_cha_bray_shaman_wild_2
swamp	wh2_twa04_bst_cha_great_bray_shaman_beasts_0
swamp	wh2_twa04_bst_cha_great_bray_shaman_beasts_1
swamp	wh2_twa04_bst_cha_great_bray_shaman_beasts_2
swamp	wh2_twa04_bst_cha_great_bray_shaman_death_0
swamp	wh2_twa04_bst_cha_great_bray_shaman_death_1
swamp	wh2_twa04_bst_cha_great_bray_shaman_death_2
swamp	wh2_twa04_bst_cha_great_bray_shaman_shadows_0
swamp	wh2_twa04_bst_cha_great_bray_shaman_shadows_1
swamp	wh2_twa04_bst_cha_great_bray_shaman_shadows_2
swamp	wh2_twa04_bst_cha_great_bray_shaman_wild_0
swamp	wh2_twa04_bst_cha_great_bray_shaman_wild_1
swamp	wh2_twa04_bst_cha_great_bray_shaman_wild_2
snow	wh3_main_dae_cha_daemon_prince_0
snow	wh3_main_dae_cha_daemon_prince_khorne
snow	wh3_main_dae_cha_daemon_prince_nurgle
snow	wh3_main_dae_cha_daemon_prince_slaanesh
snow	wh3_main_dae_cha_daemon_prince_tzeentch
chaos_territory	wh3_main_dae_cha_daemon_prince_khorne
chaos_territory	wh3_main_dae_cha_daemon_prince_nurgle
chaos_territory	wh3_main_dae_cha_daemon_prince_slaanesh
chaos_territory	wh3_main_dae_cha_daemon_prince_tzeentch
chaos_wastes	wh3_main_dae_cha_daemon_prince_khorne
chaos_wastes	wh3_main_dae_cha_daemon_prince_nurgle
chaos_wastes	wh3_main_dae_cha_daemon_prince_slaanesh
chaos_wastes	wh3_main_dae_cha_daemon_prince_tzeentch
chaos_wastes	wh3_dlc20_chs_cha_daemon_prince
chaos_wastes	wh3_dlc20_chs_cha_daemon_prince_mkho
chaos_wastes	wh3_dlc20_chs_cha_daemon_prince_mnur
chaos_wastes	wh3_dlc20_chs_cha_daemon_prince_msla
chaos_wastes	wh3_dlc20_chs_cha_daemon_prince_mtze
chaos_territory	wh3_dlc20_chs_cha_daemon_prince
chaos_territory	wh3_dlc20_chs_cha_daemon_prince_mkho
chaos_territory	wh3_dlc20_chs_cha_daemon_prince_mnur
chaos_territory	wh3_dlc20_chs_cha_daemon_prince_msla
chaos_territory	wh3_dlc20_chs_cha_daemon_prince_mtze
snow	wh3_dlc20_chs_cha_daemon_prince
snow	wh3_dlc20_chs_cha_daemon_prince_mkho
snow	wh3_dlc20_chs_cha_daemon_prince_mnur
snow	wh3_dlc20_chs_cha_daemon_prince_msla
snow	wh3_dlc20_chs_cha_daemon_prince_mtze
non_vampire_territory	wh3_dlc20_chs_cha_daemon_prince
non_vampire_territory	wh3_dlc20_chs_cha_daemon_prince_mkho
non_vampire_territory	wh3_dlc20_chs_cha_daemon_prince_mnur
non_vampire_territory	wh3_dlc20_chs_cha_daemon_prince_msla
non_vampire_territory	wh3_dlc20_chs_cha_daemon_prince_mtze
