key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_left_1	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_left_2	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_02	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_right_0	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_right_1	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_01	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher_poopdeck_right_2	hu1_dlc25_wm_landship02_poopdeck_grenade_launcher_02	wh3_dlc25_emp_veh_land_ship_crew_grenade_launcher	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_grenade_launcher	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_left_0	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_left_1	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_left_2	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_left_3	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_right_0	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_right_1	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_right_2	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_foredeck_right_3	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_maindeck_left_0	hu1_dlc25_wm_landship02_maindeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_maindeck_right_0	hu1_dlc25_wm_landship02_maindeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_left_0	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_left_1	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_left_2	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_02	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_right_0	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_right_1	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_morr_repeater_poopdeck_right_2	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_02	wh3_dlc25_emp_inf_nuln_ironsides_morr_repeaters	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater_morr	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_mortar_centre_0	wm_mortar01	wh3_dlc25_emp_mortar	wh_main_emp_art_mortar	wh3_dlc25_emp_veh_land_ship_crew_mortar_centre_0	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_left_0	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_left_1	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_left_2	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_left_3	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_right_0	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_right_1	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_right_2	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_foredeck_right_3	hu1_dlc25_wm_landship02_foredeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_maindeck_left_0	hu1_dlc25_wm_landship02_maindeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_maindeck_right_0	hu1_dlc25_wm_landship02_maindeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_left_0	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_left_1	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_left_2	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_02	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_right_0	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_right_1	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_poopdeck_right_2	hu1_dlc25_wm_landship02_poopdeck_repeater_rifle_02	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_side_left_0	hu1_dlc25_wm_landship02_side_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crew_repeater_side_right_0	hu1_dlc25_wm_landship02_side_repeater_rifle_01	wh3_dlc25_emp_veh_land_ship_crew_repeater	wh3_dlc25_emp_inf_nuln_ironsides	wh3_dlc25_emp_mnt_veh_land_ship_crew_repeater	false	true	false
wh3_dlc25_emp_veh_land_ship_crows_nest_hochland_long_rifle	hu1_dlc25_wm_landship02_crows_nest_rifle_01	wh3_dlc25_emp_inf_hochland_long_rifles	wh_main_infantry_handgunners_blood_dismembers	wh3_dlc25_emp_veh_land_ship_crows_nest_hochland_long_rifle	false	true	false
