key	campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
wh3_main_skill_node_ogr_butcher_beasts_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_ogr_butcher_beasts		6.0000	8.0000		0	0	false
wh3_main_skill_node_ogr_butcher_great_maw_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_ogr_butcher_great_maw		6.0000	8.0000		0	0	false
wh3_main_skill_node_ogr_firebelly_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_ogr_firebelly		6.0000	8.0000		0	0	false
wh3_main_skill_node_ogr_hunter_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_ogr_hunter		6.0000	8.0000		0	0	false
wh3_main_skill_node_sla_alluress_shadow_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_sla_alluress_shadow		6.0000	8.0000		0	0	false
wh3_main_skill_node_sla_alluress_slaanesh_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_sla_alluress_slaanesh		6.0000	8.0000		0	0	false
wh3_main_skill_node_sla_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_sla_cultist		6.0000	8.0000		0	0	false
wh3_main_skill_node_tze_cultist_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_tze_cultist		6.0000	8.0000		0	0	false
wh3_main_skill_node_tze_iridescent_horror_metal_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_tze_iridescent_horror_metal		6.0000	8.0000		0	0	false
wh3_main_skill_node_tze_iridescent_horror_tzeentch_innate_09	remove_innate	wh2_main_skill_innate_all_strategist	wh3_main_skill_node_set_tze_iridescent_horror_tzeentch		6.0000	8.0000		0	0	false
wh_dlc05_skill_node_wef_spy_innate_13	remove_innate	wh2_main_skill_innate_all_strategist	wh_dlc05_skill_node_set_wef_waystalker		6.0000	12.0000		0	0	false
wh_dlc08_skill_node_set_nor_skin_wolf_werekin_innate_15	remove_innate	wh2_main_skill_innate_all_strategist	wh_dlc08_skill_node_set_nor_skin_wolf_werekin		6.0000	14.0000		0	0	false
wh_main_skill_node_all_engineer_innate_14	remove_innate	wh2_main_skill_innate_all_strategist	wh_main_skill_node_set_all_engineer		6.0000	13.0000		0	0	false
wh_main_skill_node_vmp_vampire_innate_16	remove_innate	wh2_main_skill_innate_all_strategist	wh_main_skill_node_set_vmp_vampire		6.0000	15.0000		0	0	false
