effect	bonus_value_id	unit_set
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_nur_inf_plaguebearers_ror_0
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_kho_inf_bloodletters_ror_0
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_sla_inf_daemonette_ror_0
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_chs_inf_aspiring_champions_mtze_ror
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_chs_inf_chaos_warriors_ror
wh3_dlc20_effect_force_stat_melee_defence_chs_infantry_units_rank7	melee_defence_mod	mp_cap_unit_chs_inf_forsaken_ror_0
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_nor_inf_marauder_berserkers_ror_0
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_nur_inf_plaguebearers_ror_0
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_kho_inf_bloodletters_ror_0
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_sla_inf_daemonette_ror_0
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_chs_inf_aspiring_champions_mtze_ror
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_chs_inf_chaos_warriors_ror
wh3_dlc20_effect_force_stat_spell_resistance_chs_infantry_units_rank7	unit_damage_resistance_magic_mod	mp_cap_unit_chs_inf_forsaken_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_tze_cav_doom_knights_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_chs_cav_skullcrushers_mkho_ror
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_kho_cav_bloodcrushers_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_sla_cav_heartseekers_of_slaanesh_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_nur_cav_pox_riders_of_nurgle_ror_0
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_chs_cav_chaos_chariot_msla_ror
wh3_dlc20_effect_force_stat_melee_attack_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	melee_attack_mod	mp_cap_unit_chs_cav_chaos_knights_ror
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_tze_cav_doom_knights_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_chs_cav_skullcrushers_mkho_ror
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_kho_cav_bloodcrushers_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_sla_cav_heartseekers_of_slaanesh_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_nur_cav_pox_riders_of_nurgle_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_chs_cav_chaos_chariot_msla_ror
wh3_dlc20_effect_force_stat_missile_resistance_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_chs_cav_chaos_knights_ror
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_tze_cav_doom_knights_ror_0
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_chs_cav_skullcrushers_mkho_ror
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_kho_cav_bloodcrushers_ror_0
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_sla_cav_heartseekers_of_slaanesh_ror_0
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_nur_cav_pox_riders_of_nurgle_ror_0
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_chs_cav_chaos_chariot_msla_ror
wh3_dlc20_effect_force_stat_speed_chs_war_beasts_melee_cavalry_chariots_warshrines_units_rank7	mod_land_movement_battle	mp_cap_unit_chs_cav_chaos_knights_ror
wh3_dlc20_effect_force_stat_armour_chs_artillery_missile_units_rank7	armour_mod	mp_cap_unit_tze_inf_pink_horrors_ror_0
wh3_dlc20_effect_force_stat_armour_chs_artillery_missile_units_rank7	armour_mod	mp_cap_unit_chs_art_hellcannon_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_artillery_missile_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_tze_inf_pink_horrors_ror_0
wh3_dlc20_effect_force_stat_missile_resistance_chs_artillery_missile_units_rank7	unit_damage_resistance_missile_mod	mp_cap_unit_chs_art_hellcannon_ror_0
wh3_dlc20_effect_force_stat_reload_time_chs_artillery_missile_units_rank7	reload	mp_cap_unit_tze_inf_pink_horrors_ror_0
wh3_dlc20_effect_force_stat_reload_time_chs_artillery_missile_units_rank7	reload	mp_cap_unit_chs_art_hellcannon_ror_0
